"作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"木瓜","嘉賜銅","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | COPPER OXYCHLORIDE=免訂(列於免訂容許量清單)","MRL 同名+大漿果類","",""
"水稻","克熱淨","2","IMINOCTADINE TRIACETATE=不得檢出候選(經對照總表(中文通用名→Guazatine);標準有此成分(1 列),但本作物/分類/通用列皆查無)","米類","",""
"水稻","聚乙醛","1","METALDEHYDE=不得檢出候選(標準有此成分(1 列),但本作物/分類/通用列皆查無)","米類","",""
"仙草","納乃得","1","METHOMYL=不得檢出候選(標準有此成分(22 列),但本作物/分類/通用列皆查無)","MRL 同名+香辛植物及其他草木本植物","",""
"仙草","畢達本","1","PYRIDABEN=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)","MRL 同名+香辛植物及其他草木本植物","",""
"瓜果類","安美速","1","AMISULBROM=不得檢出候選(標準有此成分(28 列),但本作物/分類/通用列皆查無)","MRL 同名+瓜果類","",""
"瓜果類","克熱淨(烷苯磺酸鹽)","1","IMINOCTADINE TRIS(ALBESILATE)=不得檢出候選(經對照總表(法規原文→克熱淨(醋酸鹽或烷苯磺酸鹽));標準有此成分(42 列),但本作物/分類/通用列皆查無)","MRL 同名+瓜果類","",""
"瓜果類","依得利","1","ETRIDIAZOLE=不得檢出候選(標準有此成分(14 列),但本作物/分類/通用列皆查無)","MRL 同名+瓜果類","",""
"瓜果類","殺紋依得利","1","ETRIDIAZOLE=不得檢出候選(標準有此成分(14 列),但本作物/分類/通用列皆查無) | HYMEXAZOL=有容許量(瓜果類 0.5ppm)","MRL 同名+瓜果類","",""
"瓜果類","脫克松","1","TOLCLOFOS-METHYL=不得檢出候選(標準有此成分(7 列),但本作物/分類/通用列皆查無)","MRL 同名+瓜果類","",""
"瓜果類","賽福芬胺","1","CYFLUFENAMID=不得檢出候選(標準有此成分(24 列),但本作物/分類/通用列皆查無) | TRIFLUMIZOLE=有容許量(瓜果類 1ppm)","MRL 同名+瓜果類","",""
